2024-06-20 01:20:27,343 [ 1] INFO  Unity: LoadingManager start
2024-06-20 01:20:30,478 [ 1] INFO  Unity: DataManager > DataManager()
2024-06-20 01:20:35,903 [ 1] INFO  Unity: UserLoginRequest::user: 123 psw: 123
2024-06-20 01:20:35,904 [ 1] INFO  Unity: ConnectToServer() Start
2024-06-20 01:20:35,908 [ 1] INFO  Unity: DoConnect
2024-06-20 01:20:35,910 [ 1] INFO  Unity: NetClient.DoConnect on 127.0.0.1:8000
2024-06-20 01:20:35,913 [ 1] INFO  Unity: Connect[0] to server 127.0.0.1:8000

2024-06-20 01:20:35,918 [ 1] INFO  Unity: LoadingMessager::OnGameServerConnect: 0 reason: Success
2024-06-20 01:20:36,428 [ 1] INFO  Unity: OnUserLogin: Success  [None]
2024-06-20 01:20:36,438 [ 1] INFO  Unity: LoadLevel: CharSelect
2024-06-20 01:20:36,695 [ 1] INFO  Unity: LevelLoadCompleted:1
2024-06-20 01:20:36,803 [ 1] INFO  Unity: OnDestroy NetworkManager.
2024-06-20 01:20:36,804 [ 1] WARN  Unity: UnityEngine.Debug:LogWarning(Object)
Network.NetClient:CloseConnection(Int32) (at Assets/Scripts/Network/NetClient.cs:180)
Network.NetClient:OnDestroy() (at Assets/Scripts/Network/NetClient.cs:175)

CloseConnection(), errorCode: 1007
2024-06-20 01:20:37,654 [ 1] INFO  Unity: Select Char:[1]大牛[Warrior]
2024-06-20 01:20:38,832 [ 1] INFO  Unity: UserGameEnterRequest::characterId :0
2024-06-20 01:20:38,861 [ 1] INFO  Unity: OnGameEnter:Success [None]
2024-06-20 01:20:38,862 [ 1] INFO  Unity: OnMapCharacterEnter:Map: 1 Count: 1
2024-06-20 01:20:38,863 [ 1] INFO  Unity: AddCharacter: 1: 大牛 Map: 1 Entity: (1:pos:(5000,4000,820),dir:(100,0,0),spd:0
2024-06-20 01:20:38,867 [ 1] INFO  Unity: LoadLevel: MainCity
2024-06-20 01:20:39,315 [ 1] WARN  Unity: 
No mesh data available for mesh Sphere001 on particle system fx_portal. Make sure Read/Write Enabled is set in the importer to work on the particle system renderer
2024-06-20 01:20:39,426 [ 1] INFO  Unity: LevelLoadCompleted:1
2024-06-20 01:20:40,564 [ 1] INFO  Unity: SetDirection: (98, -19, 0)
2024-06-20 01:20:40,565 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:40,671 [ 1] INFO  Unity: SetDirection: (93, -37, 0)
2024-06-20 01:20:40,671 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:40,763 [ 1] INFO  Unity: SetDirection: (83, -55, 0)
2024-06-20 01:20:40,764 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:40,855 [ 1] INFO  Unity: SetDirection: (72, -69, 0)
2024-06-20 01:20:40,856 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:40,949 [ 1] INFO  Unity: SetDirection: (56, -83, 0)
2024-06-20 01:20:40,950 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:41,055 [ 1] INFO  Unity: SetDirection: (38, -92, 0)
2024-06-20 01:20:41,056 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:41,133 [ 1] INFO  Unity: SetDirection: (21, -98, 0)
2024-06-20 01:20:41,134 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:41,227 [ 1] INFO  Unity: SetDirection: (1, -100, 0)
2024-06-20 01:20:41,227 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:41,324 [ 1] INFO  Unity: SetDirection: (-17, -99, 0)
2024-06-20 01:20:41,325 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 0 
2024-06-20 01:20:41,337 [ 1] INFO  Unity: MoveForward
2024-06-20 01:20:41,338 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:41,416 [ 1] INFO  Unity: SetDirection: (-37, -93, 0)
2024-06-20 01:20:41,417 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:41,522 [ 1] INFO  Unity: SetDirection: (-54, -84, 0)
2024-06-20 01:20:41,522 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:41,707 [ 1] INFO  Unity: SetDirection: (-68, -73, 0)
2024-06-20 01:20:41,708 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,273 [ 1] INFO  Unity: SetPosition: (4683, 3605, 801)
2024-06-20 01:20:43,273 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,552 [ 1] INFO  Unity: SetPosition: (4683, 3605, 801)
2024-06-20 01:20:43,552 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,789 [ 1] INFO  Unity: SetDirection: (-54, -84, 0)
2024-06-20 01:20:43,789 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,842 [ 1] INFO  Unity: SetPosition: (4684, 3603, 801)
2024-06-20 01:20:43,843 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,895 [ 1] INFO  Unity: SetDirection: (-37, -93, 0)
2024-06-20 01:20:43,895 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:43,987 [ 1] INFO  Unity: SetDirection: (-18, -98, 0)
2024-06-20 01:20:43,988 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:44,107 [ 1] INFO  Unity: SetDirection: (0, -100, 0)
2024-06-20 01:20:44,108 [ 1] INFO  Unity: MapEntitySyncRequest: ID: 1, Pos: SkillBridge.Message.NVector3 DIR: SkillBridge.Message.NVector3 SPD: 300 
2024-06-20 01:20:44,556 [ 1] INFO  Unity: SetDirection: (-18, -98, 0)
